36,24,35,21
24,36,15,1
18,48,17,33
24,36,11,1
12,72,3,1
12,72,3,37
4,216,3,109
216,4,107,1
72,12,71,9
72,12,35,9
144,6,143,3
108,8,107,5
24,36,3,1
72,12,35,1
48,18,15,1
36,24,35,9
8,112,7,85
56,16,55,5
56,16,55,9
8,112,7,29
8,112,7,57
56,16,27,9
56,16,27,1
8,112,3,57
32,28,15,1
56,16,55,13
8,112,3,1
16,56,15,29
16,56,7,29
16,56,7,1
4,224,3,113
224,4,111,1
112,8,27,1
16,56,11,1
16,56,3,1
28,32,27,17
112,8,111,5
112,8,55,5
112,8,55,1
112,8,83,1
10,90,3,1
30,30,9,1
30,30,9,7
10,90,9,37
6,150,3,1
6,150,5,51
90,10,53,1
150,6,149,3
30,30,3,1
30,30,23,1
150,6,99,1
90,10,89,7
30,30,23,21
30,30,29,27
30,30,29,7
30,30,29,21
116,8,115,5
4,232,3,117
232,4,115,1
8,116,3,1
12,78,3,1
156,6,51,1
6,156,3,1
6,156,5,105
156,6,155,3
12,78,11,27
78,12,77,9
78,12,51,1
8,120,7,61
8,120,3,61
8,120,3,1
12,80,11,41
16,60,7,1
20,48,19,25
24,40,11,21
24,40,11,1
24,40,23,21
4,240,3,121
80,12,39,1
60,16,59,9
48,20,23,1
40,24,19,13
40,24,39,13
240,4,119,1
120,8,59,1
120,8,59,5
120,8,119,5
40,24,19,1
22,44,21,41
44,22,43,19
22,44,3,1
44,22,3,1
162,6,161,3
54,18,53,15
18,54,3,1
6,162,3,1
14,70,3,1
14,70,13,11
70,14,69,11
70,14,59,1
124,8,123,5
4,248,3,125
248,4,123,1
8,124,3,1
10,100,3,1
100,10,99,7
20,50,3,1
50,20,49,17
12,84,11,57
12,84,3,1
6,168,5,57
6,168,3,1
24,42,23,15
24,42,15,1
42,24,41,9
42,24,27,1
84,12,27,1
84,12,83,9
168,6,167,3
168,6,111,1
64,16,31,9
64,16,63,9
64,16,31,1
64,16,31,5
64,16,63,5
64,16,31,13
128,8,63,1
128,8,63,5
128,8,127,5
256,4,127,1
4,256,3,129
64,16,63,13
32,32,19,17
32,32,3,17
32,32,19,1
32,32,3,1
16,64,7,33
16,64,7,1
16,64,15,33
16,64,11,33
16,64,11,1
16,64,3,33
32,32,15,13
32,32,15,29
32,32,31,13
32,32,15,1
32,32,15,17
32,32,31,17
8,128,7,65
8,128,3,65
8,128,3,1
16,64,3,1
32,32,31,29
6,174,3,1
174,6,173,3
174,6,57,1
6,174,5,117
24,44,11,1
12,88,11,45
8,132,3,1
132,8,131,5
88,12,43,1
44,24,43,13
4,264,3,133
264,4,131,1
180,6,179,3
90,12,89,9
60,18,39,1
36,30,35,21
12,90,3,1
18,60,17,21
6,180,3,1
30,36,9,1
136,8,135,5
16,68,7,1
8,136,3,69
8,136,3,1
8,136,7,69
4,272,3,137
136,8,67,1
136,8,67,5
68,16,67,9
272,4,135,1
10,110,9,67
10,110,3,1
110,10,109,7
110,10,43,1
6,186,3,1
6,186,5,63
186,6,185,3
186,6,123,1
20,56,19,29
28,40,27,21
8,140,3,1
4,280,3,141
280,4,139,1
140,8,139,5
56,20,27,1
40,28,19,1
16,72,11,1
16,72,3,1
12,96,3,49
12,96,3,1
12,96,11,49
12,96,11,81
12,96,11,33
16,72,15,37
16,72,7,37
16,72,7,1
24,48,11,25
24,48,11,1
24,48,23,37
24,48,23,13
24,48,23,25
24,48,23,33
24,48,11,33
24,48,11,9
24,48,23,9
24,48,23,21
24,48,23,45
32,36,15,1
36,32,35,17
48,24,3,1
48,24,27,1
48,24,39,1
48,24,39,13
48,24,15,13
48,24,15,1
48,24,23,1
48,24,11,1
48,24,47,13
48,24,23,13
48,24,47,21
48,24,47,9
48,24,23,9
48,24,11,9
48,24,35,9
72,16,71,13
72,16,71,5
72,16,71,9
72,16,35,9
48,24,23,21
72,16,35,1
96,12,15,1
96,12,47,1
96,12,95,9
96,12,47,9
24,48,15,13
24,48,15,37
24,48,15,1
24,48,3,25
24,48,3,1
144,8,143,5
144,8,71,5
144,8,71,1
144,8,107,1
144,8,35,1
96,12,63,1
192,6,63,1
288,4,143,1
8,144,3,1
8,144,3,73
8,144,7,73
8,144,7,37
8,144,7,109
192,6,191,3
48,24,35,1
4,288,3,145
6,192,3,1
6,192,5,129
24,48,15,25
34,34,33,31
34,34,3,1
84,14,59,1
84,14,83,11
42,28,17,1
42,28,41,25
14,84,13,25
14,84,3,1
28,42,27,25
28,42,3,1
148,8,147,5
296,4,147,1
8,148,3,1
4,296,3,149
198,6,197,3
66,18,21,1
6,198,3,1
18,66,17,45
120,10,119,7
60,20,23,1
60,20,59,17
40,30,23,1
30,40,29,17
30,40,23,1
20,60,3,1
20,60,19,37
120,10,23,1
10,120,3,1
10,120,9,97
40,30,39,7
8,152,3,1
8,152,3,77
76,16,75,9
152,8,75,5
152,8,75,1
8,152,7,77
4,304,3,153
16,76,7,1
152,8,151,5
304,4,151,1
102,12,101,9
204,6,135,1
204,6,203,3
6,204,5,69
6,204,3,1
12,102,11,69
102,12,33,1
12,102,3,1
12,104,11,53
24,52,11,1
312,4,155,1
156,8,155,5
8,156,3,1
104,12,51,1
52,24,51,13
4,312,3,157
6,210,5,141
6,210,3,1
210,6,69,1
30,42,9,1
30,42,29,15
42,30,41,21
42,30,27,1
210,6,209,3
4,320,3,161
20,64,19,33
32,40,15,21
32,40,15,1
32,40,31,21
40,32,39,17
40,32,19,17
64,20,31,1
80,16,19,9
80,16,39,1
80,16,59,1
80,16,19,1
8,160,3,1
8,160,7,81
8,160,3,81
16,80,15,61
16,80,15,21
16,80,15,41
16,80,7,61
16,80,7,21
16,80,7,1
16,80,11,41
16,80,11,1
16,80,3,41
16,80,3,1
320,4,159,1
40,32,19,1
80,16,79,13
80,16,39,13
80,16,79,5
80,16,39,5
80,16,79,9
80,16,39,9
80,16,59,9
160,8,159,5
160,8,79,5
160,8,79,1
16,80,7,41
