PetrieLength, Size
ReflexibleManiplex([ 192, 8 ], "(r0*r1)^21*r0*r2*(r1*r0)^7*r2*r1*r0*r2*(r1*r0)^18*r1,(r1*r0*(r1*r2)^3)^2,(r1*r2*(r1*r0)^2)^2,(r2*r0)^2,(r2*r1*(r2*r1*r0)^2)^2")#192#1536
ReflexibleManiplex([ 192, 8 ], "(r0*(r1*r2)^3*r1)^2,(r1*r0)^4*r1*r2*r0*r1*r0*r2*r1*r2*r0*r1*r0*(r1*r0*((r1*r0)^2*r2)^2*(r1*r0)^3*(r1*r0*r2)^6*(r1*r0)^2*r2)^2*(r1*r0)^8,(r1*r2*(r1*r0)^2)^2,(r2*r0)^2,r2*r1*r2*(r1*r2*r0)^2*(r1*r2)^2*r0*r1*r0")#192#1536
ReflexibleManiplex([ 48, 8 ], "r0*r1*r0*(r1*r0*r2)^2*(r1*r0)^4*((r1*r0)^6*r2)^2*(r1*r0*r2)^2*(r1*r0)^2*r1,(r0*(r1*r2)^4)^2,(r1*r0*r1*r2)^2*(r0*r1)^2*r2*(r1*r0)^2,(r1*r0*(r1*r2)^2*r0*r1*r2)^2,(r2*r0*r1)^3*r2*r1*r2*r0*r1*(r0*r1*r2)^2*r1")#48#1536
ReflexibleManiplex([ 48, 8 ], "r0*r1*r2*r0*r1*r0*r2*r1*(r2*r1*r0)^2*r1*r0*r1*r2*r1,((r1*r0)^5*r2*(r1*r0)^3)^3,(r1*r0*r1*r0*((r1*r0)^3*r2)^2)^3,(r1*r0*r1*r2)^4,((r1*r2)^2*r1*r0*r1*r2)^2,(r2*r0)^2")#48#1536
ReflexibleManiplex([ 16, 24 ], "((r1*r0)^2*r1*r2*r1*r0)^2,(r1*r2*r1*r0)^4,(r1*r2)^2*r1*r0*r2*(r1*r2*r0)^7*(r1*r2)^2,(r2*r0)^2,((r2*r1)^2*r0*r1*r2*r1)^2")#48#1536
ReflexibleManiplex([ 16, 24 ], "(r0*r1*r2*r0*r1)^4,(r1*r0*r1*r2*(r1*r0)^2)^2,((r1*r2)^2*r0)^2*(r1*r2)^6*r0*(r1*r2)^2*r0,(r2*r1*r2*(r0*r1)^2*r2*r0*r1)^2")#48#1536
ReflexibleManiplex([ 16, 24 ], "(r0*r1*(r0*r1*r2)^2*(r1*r2)^2*r0*r1*r2)^2,(r1*r0*r1*r2)^4,(r1*r0*(r1*r2)^3)^2,((r1*r2)^2*(r0*r1)^3*r0)^2,r1*r2*r1*(r2*r1*(r2*r1*r0)^3)^2*(r2*r1)^2*r2,(r2*(r0*r1)^2*(r2*r1)^2*(r0*r1)^2)^2,(r2*r0)^2")#48#1536
ReflexibleManiplex([ 16, 24 ], "(r1*r0*r1*r2*(r0*r1)^2*r0)^2,(r1*r0*r1*r2*(r0*r1)^2*r2)^2,((r1*r2)^2*r0)^2*(r1*r2)^6*r0*(r1*r2)^2*r0,r2*(r1*r2*(r1*r0)^2*r1*r2*r1*r0)^2*r2*(r1*r0)^2")#48#1536
ReflexibleManiplex([ 32, 24 ], "(r1*r0)^3*r1*(r0*r1*r2)^12*r0,((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2")#96#1536
ReflexibleManiplex([ 32, 24 ], "((r0*r1)^2*r2*r1*r0*r1)^2,(r1*r0)^5*(r1*r2*r0)^2*r1*r0*r1*r2*(r0*r1)^7*r2*r0,(r1*r2*r1*r0)^4,(r1*r2)^5*r1*r0*(r2*r1*r2*r0*r1)^2*(r2*r1)^2*r2*r0,((r2*r1)^2*r0*r1*r2*r1)^2")#96#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2*r0)^4*(r1*r2)^15*(r0*r1*r2)^4*r1*r2")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r0*r1)^2*r2*r1*r0*r1)^2,(r1*r0*r1*r2*r0*r1*r0)^2*r1*r2*r0*r1*r2*r0,(r1*r0*r1*r2)^4,(r1*r2*r1*r0*(r1*r2)^2)^2,(r1*r2)^4*r1*r0*(r2*r1)^14*r2*r0*r1*r2*((r1*r2)^2*r0)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^4*r0*(r1*r2)^20*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r0*r1*r2*(r0*r1)^2*r0)^2,((r1*r2)^2*(r0*r1)^2*r2*r0)^2,(r1*r2)^3*r1*r0*(r2*r1)^20*r0*r2,(r2*r0)^2,r2*(r1*r0*r1*r2*r1*r0)^2*r1*r2*r1")#24#1536
ReflexibleManiplex([ 32, 48 ], "(r1*r0)^12*r2*(r1*r0)^4*r2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*r0*(r1*r2)^10*r0")#96#1536
ReflexibleManiplex([ 32, 48 ], "((r1*r0)^7*r1*r2)^2,r1*r0*r1*r2*(r0*r1)^12*r2*(r0*r1)^2*r0,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^6*r0)^2")#96#1536
ReflexibleManiplex([ 32, 48 ], "(r1*r0*r1*r2)^2,r2*r1*r0*(r2*r1)^8*(r2*r1*r0)^15")#96#1536
ReflexibleManiplex([ 32, 48 ], "(r0*r1)^12*r2*(r0*r1)^2*r0*r2*r1*r0*r1,((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*r0*(r1*r2)^22*r0")#96#1536
ReflexibleManiplex([ 64, 24 ], "(r1*r0*r1*r2)^2,(r1*r0*r2)^10*(r1*r0*r2*(r1*r0)^10)^2")#192#1536
ReflexibleManiplex([ 64, 24 ], "(r0*r1)^4*r2*(r0*r1)^26*r2*(r0*r1)^2,((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*r0*(r1*r2)^10*r0")#192#1536
ReflexibleManiplex([ 32, 96 ], "(r1*r0)^3*r1*r2*(r1*r0)^11*r1*r2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^6*r0)^2")#48#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r1*r2*((r1*r2)^5*r1*r0*r1*r0)^2*r1*r2")#24#1536
ReflexibleManiplex([ 32, 96 ], "(r1*r0)^3*r1*r2*(r1*r0)^11*r1*r2,(r1*r0*r1*r2*r1*r0*r2)^2,(r2*r1*r0)^2*r2*r1*r2*r0*(r1*r2)^2*(r1*r2*r0)^5*r1*r2*r1")#48#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^6*r0)^2")#24#1536
ReflexibleManiplex([ 16, 24 ], "((r0*r1)^2*(r2*r1)^2*r0*r1*r2*r1)^2,(r2*(r1*r0)^2)^2*(r2*r1*r0)^2*r1*r0*(r1*r2)^3*r0*r1*r0*(r2*(r1*r0)^4*r1*r2*r1)^3*r2*(r1*r0)^3,r2*(r1*r2*r0*r1*r0)^3*(r1*r0)^2*r1*r2*(r0*r1*r2*(r0*r1)^2)^2*r2*r0*r1*r0,r2*r1*(r2*r1*r0)^2*(r1*r2)^3*(r1*r0)^2")#48#1536
ReflexibleManiplex([ 16, 24 ], "((r0*r1)^3*r2*r1)^2,r0*r1*r2*(r0*r1)^2*(r0*r1*r2)^2*(r0*r1)^2*(r2*r1)^2*r2*r0*r1,(r1*r0*(r1*r2*r0*r1*r2)^2*r0)^2,(r2*r1*r0*r1)^4,(r2*r1*r0*r2*r1)^6")#48#1536
ReflexibleManiplex([ 16, 96 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*(r1*r0*r2)^3*r1*r0*(r2*r1)^31*(r2*r0*r1)^3*r2*r0")#96#1536
ReflexibleManiplex([ 16, 96 ], "((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r1*r0*r2*r1*r0*r1*r2*(r0*r1)^5*r0,(r1*r2)^2*r0*(r1*r2)^46*r0")#96#1536
ReflexibleManiplex([ 16, 24 ], "((r0*r1)^3*r2*r1)^2,r0*(r1*r2)^2*((r0*r1*r2)^2*r0*r1)^2*r0*r1*(r0*r1*r2)^2*r1,r2*(r0*r1)^2*(r2*r1)^3*(r0*r1*r2)^2*r1,(r2*r1)^2*r0*((r2*r1)^2*r0*(r2*r1)^2)^2*r2*r0*r1*r2*r1")#48#1536
ReflexibleManiplex([ 16, 24 ], "((r0*r1)^3*r2*r1)^2,r0*r1*r0*(r2*r1)^2*r0*(r1*r0*r2)^2*r1*r2*r1*r0*r1*r2,(r1*r2*r1*r0*(r1*r2)^2*r1*r0)^2*r1*r2*r1*r2,r2*(r1*r0*r1*r2*r0)^3*r1*r0*r1*r0,r2*r1*r2*r0*r1*r2*r1*(r0*r1*r2)^3*(r1*r0)^2,((r2*r1)^2*r0)^6")#48#1536
ReflexibleManiplex([ 16, 12 ], "((r1*r2)^2*r0*(r1*r2)^2*r1*r0)^2,(r2*(r0*r1)^3*r2*r0*r1)^2*r2*r1*r2*r1,(r2*(r1*r0)^3*r1)^2,(r2*r1*r0*(r1*r2)^4*r1)^2")#48#1536
ReflexibleManiplex([ 32, 12 ], "(r0*r1*r2*r1)^4,(r1*r0)^2*r1*r2*(r0*r1*r0*r2*r1*r0*r1)^3*r0*(r1*r0*r2)^2*(r1*r0)^2,(r1*r2)^3*(r1*r0)^2*r2*r1*(r2*r1*r0)^2,(r2*(r1*r0)^3*r1)^2")#96#1536
ReflexibleManiplex([ 128, 12 ], "(r1*r0)^21*(r2*r1*r0)^4*r2*(r1*r0)^29*r2*(r1*r0)^10,(r1*r0*r1*r2)^2")#384#1536
ReflexibleManiplex([ 32, 12 ], "(r0*r1)^4*r2*(r0*r1)^2*r0*r2*(r1*r0*r2*(r1*r0)^2)^2*(r2*r1*r0)^2*r1*r0*r1,((r0*r1)^2*(r2*r1)^3)^2,r0*r1*r0*r2*r1*(r2*r1*r0)^2*(r2*r1)^2*r2,((r1*r0)^3*r1*r2)^2")#96#1536
ReflexibleManiplex([ 8, 12 ], "(r0*r1*r0*(r2*r1)^2)^4,((r1*r0)^2*r1*r2*r1*r0)^2,(r1*r2*r1*r0)^4,(r1*(r2*r1*r0)^2)^4,(r2*r1)^4*r0*r2*(r1*r0)^3*r2*r1")#24#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^10,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^4*r0*(r1*r2)^20*r0")#48#1536
ReflexibleManiplex([ 32, 96 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^4*r0*(r1*r2)^20*r0")#48#1536
ReflexibleManiplex([ 32, 96 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^12*r0)^2")#24#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^10,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^12*r0)^2")#24#1536
ReflexibleManiplex([ 16, 96 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^4*r0*(r1*r2)^44*r0")#96#1536
ReflexibleManiplex([ 16, 96 ], "(r1*r0)^4*(r1*r2*r1*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^4*r0*(r1*r2)^44*r0")#96#1536
ReflexibleManiplex([ 16, 24 ], "((r1*r0)^3*r1*r2)^4,r1*r0*(r1*r2)^2*r1*r0*(r1*r0*r2)^2,(r2*r1*r0*r2*r1)^3*r2*r1*r0*r1*(r0*(r1*r2)^2)^2*r0*r1*r2*r1*r0")#24#1536
ReflexibleManiplex([ 16, 24 ], "(r0*r1)^4*r2*r1*r2*(r1*r0)^4*r2*r1*r2,r0*r1*r0*(r1*(r0*r1*r2)^2)^2*(r1*r0)^2*r1,((r1*r0)^2*r2*r1*r0*r1*r2)^2,(r1*r0*r2)^3*r1*r0*(r2*r1)^8*r2,((r1*r2)^2*r1*r0*r1*r2)^2,(r2*(r1*r0*r2*r1*r0)^2)^2")#12#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r2*r0*r1*r0)^4,r1*r2*r1*r0*(r2*r1)^5*(r2*r0*r1)^3*(r2*r1)^2*r2,((r1*r2)^3*r1*r0)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r2*r0)^2*(r1*r2)^9*r0*r1*r2*r0,(r2*r0)^2,(r2*r1*r0*r1)^4,(r2*r1)^2*r2*((r0*r1)^2*r2*r1)^3*r0*r1*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r0*r1*r2*(r0*r1)^2*r2)^2,(r1*r2*(r0*r1)^3*r0)^2,r1*r2*(r1*r2*r0)^4*(r1*r2)^7,(r2*(r1*r0*r2*r1*r0)^2)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r1*r2*r0*r1)^2*(r2*r1)^2*r0*r1*r2*(r0*r1)^3*r2,(r0*r1*r2*(r0*r1*r2*r1)^2*r2*r1)^2,(r1*r2*r0)^2*(r1*r2)^9*r0*r1*r2*r0,(r1*r2*r1*r0)^4,(r2*r0)^2,(r2*(r1*r0)^3*r1)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r0*r1*r2*(r1*r0)^2)^2,(r1*r0*r2*r1*r0)^4,(r1*r2*r0*r1*(r0*r1*r2)^2)^2,((r1*r2)^2*r1*r0*r2)^4,(r2*r1*r0*(r1*r2)^2*r1)^2")#12#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r2*r1*r0*(r1*r0*r2)^2*r1)^2,((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2)^4,(r1*r0*(r2*r1*r0*r1)^2*r0*r1*r2)^2,(r2*r0)^2,r2*r1*r2*(r1*r2*r0)^2*(r1*r2)^4*(r0*r1*r2)^3*r1*r2*(r1*r0)^3")#12#1536
ReflexibleManiplex([ 16, 48 ], "r0*r1*r0*(r1*r0*r2)^2*(r1*r0)^3*r2*r1*r0*(r1*r2)^3,((r1*r0)^3*r1*r2)^2,(r1*r2*(r0*r1*r2*r1)^2*r2*r1*r0)^2,(r1*r2*r0*(r1*r2)^4)^2*r1*r2*r0*r1*r2*r0,(r1*r2*r1*r0)^4,(r2*r0)^2,(r2*r1*r2*(r0*r1*r2*r1)^2*r2*r1)^2")#12#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r2*r1*r0)^2,(r1*r0*r2*(r1*r0)^2*r2*r1*r2)^2,(r1*r2*(r1*r0)^2*r2*r1*r0)^2,r1*((r2*r1)^2*r0)^2*(r1*r0)^2*r1*r2*r1*r0*(r2*r1)^3*r0,(r2*r0*(r1*r2)^2*r1)^4,(r2*r0)^2")#12#1536
ReflexibleManiplex([ 8, 24 ], "((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*(r1*r2*r0)^3)^2,((r1*r2)^2*r1*r0*r1*r2)^2,r2*(r1*r2*r1*r2*(r1*r2*r0)^2)^2*(r1*r2)^3*r1")#24#1536
ReflexibleManiplex([ 8, 24 ], "r1*r0*r1*r2*(r0*r1)^2*(r2*r1)^2*(r0*r1*r2)^3*(r1*r0)^2*r2*r1*r2,(r1*r0*r1*r2*(r1*r0)^2)^2,(r1*r2)^8*r1*r0*r2*r1*r0*r1*(r0*r1*r2)^2*r1*r2,r2*(r1*r0*r1*r2*r0)^7*r1*r0*r1*r0,(r2*r1*r2*(r0*r1)^2*r2*r0*r1)^2")#48#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r2*r1*r0)^2,(r1*r2*r1*r0*r1*r2*r0*r1*r0)^2,(r1*r2)^2*r0*(r1*r2)^8*r1*r0*r1*(r0*r1*r2)^2,(r2*(r1*r0*r2*r1*r0)^2)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*(r0*r1*r2)^2*r1*r2*r0)^2,(r1*r0*r1*r2)^4,r1*r2*r0*(r1*r2)^7*(r0*r1*r2)^2*(r1*r2)^2*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*(r0*r1*r2)^2*r1*r2*r0)^2,(r1*r0*r1*r2)^4,r1*r2*r0*((r1*r2)^3*r0*(r1*r2)^2)^2*r1*r2*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "((r1*r0)^3*r2*r1*r0)^2,(r1*r2*r1*r0*r1*r2*r0*r1*r0)^2,(r1*r2)^6*r0*(r1*r2)^4*r1*r0*r1*(r0*r1*r2)^2,(r2*(r1*r0*r2*r1*r0)^2)^2")#24#1536
ReflexibleManiplex([ 8, 48 ], "((r1*r0)^2*r1*r2*r1*r0)^2,(r1*r2*r1*r0)^4,((r2*r1)^2*r0*r1*r2*r1)^2,(r2*r1)^7*r0*(r2*r1)^13*r2*r0*(r1*r2)^3*r0*r1*r0")#48#1536
ReflexibleManiplex([ 8, 48 ], "((r1*r0)^3*r1*r2)^2,r1*r0*r2*r1*r0*r1*r2*r0*(r1*r0*r1*r2)^2*r1*r0,(r1*r2*r1*r0*(r1*r2)^2)^2,(r2*r0)^2,(r2*r1*((r2*r1)^2*r0)^3*r2*r1*r0*(r2*r1)^2*(r2*r1*r0)^2)^2")#48#1536
ReflexibleManiplex([ 8, 48 ], "(r0*r1*r2*(r1*r0)^2*r1)^2,(r0*r1*r2*r1)^4,r0*(r2*r1)^7*r2*r0*r1*r2*r0*(r1*r2)^14*r1*r0*r2*r1,(r1*r2)^2*r1*r0*(r1*r2)^3*(r0*r1)^2*r2*r0")#48#1536
ReflexibleManiplex([ 8, 48 ], "((r1*r0)^3*r1*r2)^2,(r1*r2*r1*r0*(r2*r1)^2*r0)^2,r1*r2*r1*(r2*r1*r0)^2*r1*r0*(r2*r1)^3*r0,(r1*r2)^19*r1*r0*(r2*r1)^4*r0*r2")#48#1536
ReflexibleManiplex([ 8, 24 ], "r0*r1*r0*(r2*r1)^2*(r0*r1)^2*((r2*r1)^4*r0)^2*r2*r1*r2,(r1*r2*(r1*r0)^3)^2,(r2*r1*r0*r1)^4,r2*r1*r0*r2*r1*r2*(r0*r1*r2*r1)^2*r2*r1*(r2*r1*r0)^2*r1*r0")#24#1536
ReflexibleManiplex([ 32, 96 ], "((r0*r1*r2)^2*r1*r2*r0*r1)^2,((r1*r0)^3*r2*r1*r0)^2,(r1*r0)^2*(r1*r2)^2*(r1*r0*r1*r2*r1*r0)^2*(r1*r0)^6,(r1*r2*(r0*r1)^2*r2*r1*r0)^2,((r1*r2)^2*r0*r1*r2*r1*r0)^2,((r1*r2)^3*r0)^4")#12#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,(r1*r2)^2*((r1*r2)^4*r1*r0*r1*r0)^2*(r1*r2)^2")#24#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r2*r1*r0)^2,(r1*r0*r1*r2*r1*r0)^2*(r1*r2)^2*(r1*r0)^8,(r1*r2*r1*r0*r1*r2*r0*r1*r0)^2,(r1*r2)^6*r0*(r1*r2)^4*r1*r0*r1*(r0*r1*r2)^2,(r2*(r1*r0*r2*r1*r0)^2)^2")#24#1536
ReflexibleManiplex([ 32, 96 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r2*r1*r0*r2*r1*r0*((r2*r1)^3*r2*r0*r1*r2*r1)^2")#12#1536
ReflexibleManiplex([ 8, 24 ], "(r0*r1*r2*(r1*r0)^2*r1)^2,(r1*r2)^2*r0*r1*r2*(r1*r2*r1*r0)^2*(r2*r1)^3*r0,(r2*r1*r0*r1)^4,(r2*r1)^3*r2*r0*(r1*r2)^2*r1*r0*(r2*r1*r2*r0*r1*r2*r1)^2")#12#1536
ReflexibleManiplex([ 8, 48 ], "(r1*r0*r1*r2*(r1*r0)^2)^2,((r1*r2*r0)^2*r1*r0*r1*r2*r0)^2,(r1*r2)^4*(r1*r2*r0)^4*(r1*r2)^4,r2*(r1*r0*r1*r2*r0)^7*r1*r0*r1*r0,r2*r1*r0*(r1*r2)^3*(r0*r1)^2*r2*(r1*r2*r1*r0)^3")#24#1536
ReflexibleManiplex([ 8, 48 ], "r0*(r1*r2*r0*(r1*r2)^3)^2*r1*r2*(r1*r2*r1*r0)^2*r1*r0*(r2*r1)^2*r2,(r1*r0)^2*r2*r1*r0*r1*r2*r0*r1*r0*(r1*r0*(r1*r2)^2)^2*r1*r0,r1*r0*r2*r1*((r0*r1)^2*r2)^2*r0*(r1*r2)^3*(r1*r0)^2*r2*r1*r2,((r1*r2*r0)^2*r1*r0*r1*r2*r0)^2,(r2*(r1*r0)^3*r1)^2")#12#1536
ReflexibleManiplex([ 8, 96 ], "(r1*r0*r1*r2*(r1*r0)^2)^2,(r1*r0*r1*r2)^4,r1*r2*(r0*r1)^2*(r2*r1)^2*r0*r1*r2*r0,(r2*r1)^2*r2*r0*(r1*r2)^41*r1*r0*(r2*r1*r0*r2*r1)^2")#96#1536
ReflexibleManiplex([ 8, 96 ], "((r1*r0)^3*r1*r2)^2,(r1*r0*r1*r2*r1*r0*r2)^2,r1*r2*r1*(r2*r1*r0)^2*(r2*r1)^41*(r2*r0*r1)^2*r2*r1*r2")#96#1536
ReflexibleManiplex([ 8, 24 ], "((r1*r0)^3*r1*r2)^2,r1*r0*r2*r1*r0*r1*r2*r0*(r1*r0*r1*r2)^2*r1*r0,(r2*r0*r1)^12,r2*r1*r0*(r2*r1)^2*r0*(r1*r2)^4*r1*r0*r1*r2*r1*r0")#12#1536
ReflexibleManiplex([ 8, 24 ], "r0*r1*r2*r1*r0*r1*r2*(r1*r0*r1*r2*r0)^2*r1,(r0*(r1*r2)^2*r1*r0*(r1*r2)^2)^2,(r1*r0)^2*(r1*r0*r2)^2*(r1*r0)^3*(r1*r2)^2*r1*r0,r2*r1*((r2*r1)^3*r0)^2*r2*r1*r0*(r2*r1)^4*(r0*r1)^2*r0")#24#1536
ReflexibleManiplex([ 8, 24 ], "r1*r2*(r0*r1*r2*(r0*r1)^2)^2*r2*r0*(r1*r2)^2*r1*r0,(r1*r2*(r1*r0)^3)^2,(r2*r1*r0)^2*(r2*r1)^4*r2*r0*r1*r2*(r1*r0)^2*(r1*r2)^4*r1*r0")#24#1536
ReflexibleManiplex([ 8, 24 ], "(r0*(r2*r1)^5*r0*r2*r1)^2,((r1*r0)^2*r1*r2*r1*r0)^2,(r1*r0*(r1*r2)^3*r1*r0*(r2*r1)^2*r2)^2,(r2*r1*((r2*r1)^2*r0)^2*r1*r0)^2,(r2*r1)^4*(r0*r1*r2)^2*r1*r2*(r1*r2*r0*r1*r0)^2*r1*r0*r2*r1*r0*r1")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r1*r0*r2*r1*r0*r1*r2*r1)^2,r0*r2*r1*r2*r0*((r1*r2)^2*r1*r0*(r2*r1)^2*r2)^2*r1,(r2*r0)^2,r2*(r1*r2*r1*r0)^2*r1*(r0*r1*r2)^2*(r0*r1)^2*r2*r1,(r2*r1)^3*(r0*(r1*r2)^2)^2*r1*r0*r1*r2*r1*r0")#12#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r1*r2*(r0*r1)^2*r2*r1)^2,(r1*r2*(r0*r1)^3*r0)^2,(r2*(r1*r0)^2*r1*r2*r1)^6,r2*r1*r0*(r2*r1)^3*(r0*r1)^2*r2*r1*(r2*r1*(r2*r1*r0)^2)^2*r2*r1*r0,(r2*r1*r2*(r0*r1)^2*r2*r1)^2")#24#1536
ReflexibleManiplex([ 64, 192 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^26,(r1*r0*r1*r2*r1*r0*r2)^2,((r1*r2)^6*r0)^2")#24#1536
ReflexibleManiplex([ 64, 192 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^12*(r1*r0)^19,((r1*r2)^12*r0)^2")#24#1536
ReflexibleManiplex([ 64, 192 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0)^2*(r1*r0*r1*r2)^2*(r1*r0)^26,(r1*r0*r1*r2*r1*r0*r2)^2,r2*r1*r0*r2*r1*r0*((r2*r1)^3*r2*r0*r1*r2*r1)^2")#12#1536
ReflexibleManiplex([ 64, 192 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^6*r0)^2")#12#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r2*r1*(r2*r1*r0)^2)^2,(r2*(r0*r1)^4)^2,(r2*(r0*r1)^2*r2*r1*r0*r1)^2,(r2*r0)^2,((r2*r1)^2*r0)^6")#12#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r1*r0*r2*r1*r0*r1*r2*r1)^2,r0*r1*r2*(r0*r1)^2*(r2*r1)^2*r0*(r1*r0*r1*r2)^2*r1*r2,(r1*r0*r2*r1*r2)^6,(r1*r2*(r0*r1)^3*r0)^2")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r0*r1*r0*r1*(r0*r1*r2)^2*r1)^2,r2*(r1*r0)^5*r1*(r2*(r1*r0)^2)^2*r2*r1*r0*r1,(r2*r1)^3*(r0*r1*r2)^2*r1*r2*(r1*r0)^2,(r2*r1)^3*r2*(r1*r2*(r1*r0)^2)^2*(r1*r2)^6*(r1*r0)^4*r2*r1*r0*r1*r2*r1*r0")#12#1536
ReflexibleManiplex([ 16, 48 ], "r0*(r1*r2)^2*(r1*r0)^4*r1*r2*(r1*r0)^2*(r2*r1)^2*r0*r2*r1,r1*r0*r2*r1*r2*(r0*r1*r2*r1)^2*(r2*r1)^3*r0*r1*r2,(r1*r2*r1*r0)^4,((r2*r1*r0*r2*r1)^2*r0*r2*r1*r0*r2*r1)^2")#24#1536
ReflexibleManiplex([ 8, 24 ], "r0*((r1*r0)^3*(r2*r1)^3*r0*r2)^2*(r1*r0)^3*(r2*r1)^3*r2,(r2*(r1*r0)^3*r1)^2,r2*r1*r0*(r1*r2)^2*r0*r1*r2*r1*(r0*r1*r2)^2*r0*r1*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "(r1*r0*(r1*r2)^2*r1*r0)^6,(r1*r2*r1*r0)^4,(r2*r0*(r1*r2)^2*r1*r0*r1)^2")#24#1536
ReflexibleManiplex([ 8, 24 ], "(r1*r0*r2*r1*r2)^6,(r1*r2)^2*r0*r1*((r0*r1)^2*r2)^2*r0*(r1*r2)^2*r0*r1*r0")#24#1536
ReflexibleManiplex([ 16, 48 ], "r0*((r1*r2)^2*r1*r0*r2)^3*(r1*r2)^3,(r1*r0*(r1*r2)^2)^2*(r0*r1)^2*r2*(r0*r1*r2*r1)^2*r2,(r1*r2)^2*r0*r1*r2*r1*(r0*r1*r2)^3*r0*r1*r0,(r2*r0)^2,(r2*(r1*r0)^2*r1)^2*r0*r2*(r1*r0)^2*(r2*r1)^3*r0*r1")#12#1536
ReflexibleManiplex([ 8, 48 ], "(r0*r1*r2*r1)^4,(r1*r2)^3*(r1*r0)^2*r2*r1*(r2*r1*r0)^2,(r2*(r1*r0)^3*r1)^2,(r2*(r1*r2*r0)^2*r1*r2*r1)^6")#48#1536
