PetrieLength, Size
ReflexibleManiplex([ 4, 28 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^3*r2*r0")#14#112
ReflexibleManiplex([ 14, 28 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#112
ReflexibleManiplex([ 28, 14 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^12")#4#112
ReflexibleManiplex([ 30, 10 ], "((r1*r0)^4*r1*r2)^2,((r1*r0)^2*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#6#120
ReflexibleManiplex([ 30, 6 ], "(r0*r1)^2*r2*(r0*r1)^8*r2,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#10#120
ReflexibleManiplex([ 10, 30 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#120
ReflexibleManiplex([ 6, 30 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^8*r0")#10#120
ReflexibleManiplex([ 15, 15 ], "(r1*r0)^4*(r1*r0*(r1*r0*r1*r2)^2)^2*r1*r2,r1*(r2*r1*r0)^2*r1*r0*r2")#4#120
ReflexibleManiplex([ 10, 6 ], "(r0*r1)^3*r0*(r2*r1)^2*r0*r2*r1,r1*r2*(r1*r0)^2*r2*(r1*r2*r0)^2*r1*r0,(r2*r0)^2")#10#120
ReflexibleManiplex([ 10, 6 ], "(r1*r0)^2*r2*r1*(r2*r1*r0)^2*r1*r0,r1*r2*(r1*r0)^2*(r2*r1*r0*r1)^2*r0,(r2*r0)^2")#5#120
ReflexibleManiplex([ 6, 10 ], "r0*r1*r2*r0*(r1*r2)^4*r0*r1,(r0*r2*r1)^5,(r2*r0)^2")#5#120
ReflexibleManiplex([ 6, 10 ], "r1*r2*r0*r1*r2*(r0*r1*r2*r1)^2*r2*r0,(r2*(r1*r0)^2*r1)^2,(r2*r1)^4*r2*(r0*r1)^2*r0")#10#120
ReflexibleManiplex([ 10, 10 ], "(r1*r2*r1*r0)^3,r2*(r0*r1)^2*(r2*r1)^3*r0*r1")#6#120
ReflexibleManiplex([ 10, 10 ], "r0*(r1*r0*r2)^2*r1*r2,(r1*r0*r1*r2)^3")#3#120
ReflexibleManiplex([ 16, 8 ], "r0*r1*r2*(r0*r1)^5*(r2*r0*r1)^2*r2,(r1*r0*r1*r2)^2")#16#128
ReflexibleManiplex([ 16, 8 ], "(r0*r1)^6*r2*(r0*r1)^2*r2,((r1*r0)^3*r1*r2)^2,((r1*r2)^2*r0)^2")#16#128
ReflexibleManiplex([ 8, 8 ], "r1*r0*r1*(r0*r1*r2)^2*r1*r2*r1*r0*r2,(r1*r2*r0)^4,(r2*r0)^2")#4#128
ReflexibleManiplex([ 8, 8 ], "(r0*r1)^3*r0*(r2*r1)^3*r2,(r2*r0)^2,(r2*r1)^2*(r0*r1)^2*(r2*r1*r0)^2")#8#128
ReflexibleManiplex([ 16, 16 ], "r1*r0*r1*r2*(r1*r0)^5*r1*r2,((r1*r2)^2*r0)^2")#8#128
ReflexibleManiplex([ 16, 16 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^4*(r1*r0)^4")#8#128
ReflexibleManiplex([ 16, 16 ], "r1*r0*r1*(r0*r1*r2)^2*r1*r2*r1*r0*r2,(r1*r2*r0)^4,(r1*r2)^4*(r1*r0*r1*r2)^2,(r2*r0)^2")#4#128
ReflexibleManiplex([ 16, 16 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#128
ReflexibleManiplex([ 8, 16 ], "(r1*r0*r1*r2)^2,(r2*r1)^5*r0*r2*(r1*r2*r0)^2*r1*r0")#16#128
ReflexibleManiplex([ 8, 16 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^6*r0")#16#128
ReflexibleManiplex([ 32, 4 ], "(r0*r1)^3*r2*(r0*r1)^13*r2,(r1*r0*r1*r2)^2")#32#128
ReflexibleManiplex([ 32, 32 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^14,(r2*r0)^2")#4#128
ReflexibleManiplex([ 4, 32 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^5*r2*r0")#32#128
ReflexibleManiplex([ 6, 33 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^6")#22#132
ReflexibleManiplex([ 22, 33 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^3*(r1*r0)^7,((r1*r2)^3*r0)^2")#6#132
ReflexibleManiplex([ 6, 22 ], "(r1*r0*r1*r2)^2,r2*r0*r1*r2*r0*(r1*r2)^9*r0*r1")#33#132
ReflexibleManiplex([ 22, 6 ], "(r1*r0)^6*(r1*r2*r0)^2*(r1*r0)^3*r2,(r1*r0*r1*r2)^2")#33#132
ReflexibleManiplex([ 33, 6 ], "(r0*r1)^9*r2*r0*r1*r0*r2*r1,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#22#132
ReflexibleManiplex([ 33, 22 ], "((r1*r0)^2*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^9")#6#132
ReflexibleManiplex([ 14, 10 ], "(r0*r1)^2*r0*(r1*r0*r2)^4*r1*r2,(r1*r0*r1*r2)^2")#35#140
