Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 78, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, (r0*a101)^4*r0*a21^-1*a101*r0*a101*a21 ")#936#6
TwoOrbit3ManiplexClass2_0([ 78, 6 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-2*a101*a21^2*a101*a21*r0*a101*r0*a21^-1, r0*a101*(a21^-1*a101*r0)^2*a101*a21*r0*a21, r0*(a101*a21^-1)^5*a21^-1 ")#936#6
TwoOrbit3ManiplexClass2_0([ 26, 18 ], " (r0*a101)^2*r0*a21^-1*a101*a21, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, a21^18 ")#936#18
TwoOrbit3ManiplexClass2_0([ 78, 6 ], " r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^3*r0*a21^-1*a101*a21, r0*a21^-2*a101*r0*a101*a21^-3*a101*r0*a21^-1, r0*(a101*a21^-1)^5*a21^-1 ")#936#6
TwoOrbit3ManiplexClass2_0([ 78, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^3*a21*r0*a21^-1*(a101*r0)^3*a21^-1*r0*a21^-1*a101 ")#936#4
TwoOrbit3ManiplexClass2_0([ 158, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^3*a21*(a101*r0)^7*a21^-1 ")#948#6
TwoOrbit3ManiplexClass2_0([ 30, 16 ], " (r0*a101)^2*a21*a101*r0*a21^-1, r0*a21^-3*a101*a21^3, a21^16 ")#960#48
TwoOrbit3ManiplexClass2_0([ 60, 8 ], " r0*a21^-3*a101*a21^3, a21^8, r0*a101*r0*(a21^-1*a101)^2*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#960#24
TwoOrbit3ManiplexClass2_0([ 60, 8 ], " r0*a21^-3*a101*a21^3, a21^8, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#960#24
TwoOrbit3ManiplexClass2_0([ 60, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*a21*(a101*r0)^4*a21^-1, r0*a21^-1*a101*r0*a101*a21*r0*a21^-2*r0*a21^-1*a101*r0*a21^-1 ")#960#12
TwoOrbit3ManiplexClass2_0([ 120, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^9*a21*(a101*r0)^3*a21^-1 ")#960#24
TwoOrbit3ManiplexClass2_0([ 20, 24 ], " r0*a101*a21^2*r0*a101*a21^-2, r0*a21^-1*(a101*r0)^2*a101*a21, a21^24 ")#960#24
TwoOrbit3ManiplexClass2_0([ 30, 4 ], " r0*a21*a101*a21^-1, (r0*a21^-1*a101*r0*a21^-1)^2, r0*a101*a21*r0*a21^-1*a101*a21*(a101*r0)^2*a21^-1 ")#960#12
TwoOrbit3ManiplexClass2_0([ 4, 15 ], " (r0*a21^-1*a101*a21)^2, r0*a21^-3*(a101*a21^2)^2*r0*a21^-1, a21^15 ")#960#30
TwoOrbit3ManiplexClass2_0([ 4, 30 ], " (r0*a21^-1*a101*a21)^2, a101*a21^3*r0*a21^-2*a101*a21^-1, a21^30 ")#960#30
TwoOrbit3ManiplexClass2_0([ 20, 12 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a21^-1*a101*a21*a101)^2, (r0*a101)^2*r0*a21^-2*a101*a21^2, a21^12 ")#960#12
TwoOrbit3ManiplexClass2_0([ 20, 12 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^3*r0*a21^-1*a101*r0*a101*a21, a21^12 ")#960#12
TwoOrbit3ManiplexClass2_0([ 4, 30 ], " (r0*a21^-1*a101*a21)^2, a101*r0*a21^4*(r0*a21^-2)^2, a21^-3*r0*a21^-11*r0*a21^-1*r0 ")#960#15
TwoOrbit3ManiplexClass2_0([ 40, 12 ], " r0*a21^-1*(a101*r0)^2*a101*a21, r0*a21^-3*a101*a21^3, a21^12 ")#960#24
TwoOrbit3ManiplexClass2_0([ 30, 12 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101*r0*a21^-2)^2, a21^2*(a101*r0)^2*a21^-3*a101*a21*a101 ")#960#4
TwoOrbit3ManiplexClass2_0([ 120, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a21^-1*a101*r0*a101*a21*r0*a21^-2*r0*a21^-1*a101*r0*a21^-1, (r0*a101)^2*a21^-1*(a101*r0)^3*(a101*a21^-1)^2*a21^-1 ")#960#24
TwoOrbit3ManiplexClass2_0([ 10, 48 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^48 ")#960#48
TwoOrbit3ManiplexClass2_0([ 20, 24 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^3*r0*a21^-1*a101*r0*a101*a21, a101*(a21^-1*a101*a21^-1)^4*a21^-2*a101*a21^-2 ")#960#24
TwoOrbit3ManiplexClass2_0([ 10, 15 ], " a101*a21*r0*a21^-1*(a21^-1*a101)^2*a21^-1, r0*a21^-1*a101*a21^2*(a101*r0)^2*a21^-1 ")#960#6
TwoOrbit3ManiplexClass2_0([ 10, 6 ], " (r0*a21^-1*a101*a21)^2, r0*a101*a21*a101*r0*a21^3*r0*a21^-1 ")#960#15
TwoOrbit3ManiplexClass2_0([ 40, 12 ], " a21*a101*a21^-1*r0, r0*a21^-3*a101*a21^3, r0*a101*a21*(a101*r0)^3*a21^-1, r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, a21^12 ")#960#24
TwoOrbit3ManiplexClass2_0([ 6, 9 ], " (r0*a101)^3, r0*a21^-2*a101*a21^-4, a21^9, r0*a101*r0*a21*r0*a101*a21*r0*a21^-1*a101*r0*a21^-1*r0*a101*r0*a21*r0*a21^-1 ")#972#18
TwoOrbit3ManiplexClass2_0([ 6, 18 ], " (r0*a101)^3, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*a21*r0*a101*a21^-1*(a101*a21)^2*r0*a101*a21, r0*a21^-1*a101*a21*r0*a21^-3*a101*a21^3 ")#972#9
TwoOrbit3ManiplexClass2_0([ 18, 6 ], " r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, r0*(a101*r0*a101*a21^-1)^2*a101*r0*a21^-1, a21^-1*(a21^-1*(a101*r0)^2)^2*a101*r0*a101 ")#972#9
TwoOrbit3ManiplexClass2_0([ 18, 9 ], " r0*a21^-2*a101*a21^-4, a21^9, (a101*a21*r0)^3, (a101*r0)^3*(a21^-1*a101)^2*(r0*a101)^2*a21^-1 ")#972#6
TwoOrbit3ManiplexClass2_0([ 18, 27 ], " r0*a21^-1*a101*r0*a101*a21, a21^-1*(a101*a21)^2*(a101*r0)^2*a21^-1, a21^27 ")#972#54
TwoOrbit3ManiplexClass2_0([ 18, 18 ], " a21^-2*(a101*r0)^2*a21^-1*a101, r0*a21^-1*a101*a21*r0*a21^-3*a101*a21^3 ")#972#9
TwoOrbit3ManiplexClass2_0([ 18, 18 ], " r0*(a101*a21^-1)^2*a21^-1, r0*a21^-3*a101*a21*r0*a21^-1*a101*a21^3 ")#972#3
TwoOrbit3ManiplexClass2_0([ 18, 18 ], " r0*a21^-1*a101*r0*a101*a21^2*a101*r0*a21^-1, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1, (r0*a101)^3*(r0*a21)^3, a21^3*a101*r0*a21^-2*a101*a21^3*r0*a21^-1*a101 ")#972#9
TwoOrbit3ManiplexClass2_0([ 18, 3 ], " r0*a21*a101*a21^-1, (r0*a101)^3*a21*(a101*r0)^3*a21^-1, (a101*r0*a101*a21*r0)^3, r0*a101*a21*a101*r0*a21^-1*a101*r0*a101*a21*r0*a21^-1*r0*a101*a21*a101*r0*a21^-1 ")#972#18
TwoOrbit3ManiplexClass2_0([ 122, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^5*r0*a21^-1*(a101*r0)^4*a101*a21 ")#976#4
TwoOrbit3ManiplexClass2_0([ 10, 20 ], " r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a101*r0*a21^-1*(a101*a21)^2*r0*a21^-1, (r0*a101)^5, a21^-8*a101*r0*a21^-1*a101*a21^-1 ")#1000#20
TwoOrbit3ManiplexClass2_0([ 50, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^2*a21*r0*a101*r0*a21^-1*(a101*r0)^4*a21^-1*r0*a21^-1*a101 ")#1000#4
TwoOrbit3ManiplexClass2_0([ 50, 10 ], " (r0*a21^-1*a101)^2*a21^2, a21^10, (r0*a101)^4*a21*a101*r0*a21^-1 ")#1000#50
TwoOrbit3ManiplexClass2_0([ 50, 10 ], " (r0*a21^-1*a101)^2*a21^2, a21^10, (r0*a101)^2*a21*(a101*r0)^3*a21^-1 ")#1000#50
