Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 42, 6 ], " r0*a21^-2*a101*a21^2, a21^6, a21^-1*r0*a101*a21*r0*a101*a21^-1*a101*a21*r0, (r0*a101)^3*r0*a21*r0*a101*a21^-1*a101 ")#504#6
TwoOrbit3ManiplexClass2_0([ 42, 6 ], " r0*a101*a21*(a101*r0)^2*a21^-1, a101*(r0*a21^-1)^2*(a101*a21^-1)^3*a21^-1 ")#504#6
TwoOrbit3ManiplexClass2_0([ 8, 16 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^4, (r0*a101*a21^2)^2, r0*a21^-2*r0*a101*a21*r0*a21^-3 ")#512#4
TwoOrbit3ManiplexClass2_0([ 32, 8 ], " (r0*a21^-1*a101)^2*a21^2, a21^8, (r0*a101)^3*a21*a101*r0*a21^-1 ")#512#32
TwoOrbit3ManiplexClass2_0([ 8, 8 ], " (r0*a101)^4, r0*a21^-3*a101*a21^3, a21^8, r0*a21^-1*a101*(a21^-1*a101*r0)^2*a21^-1, r0*a101*a21*a101*r0*a21^-1*a101*a21*r0*a21^-1 ")#512#16
TwoOrbit3ManiplexClass2_0([ 8, 16 ], " (r0*a101)^4, r0*a101*r0*a21^-1*a101*a21^-2*a101*r0*a21^-1, (a21^-1*a101*a21^-1)^2*a101*a21*r0*a21^-1, r0*a21^-2*a101*a21^3*a101*r0*a21^-1 ")#512#8
TwoOrbit3ManiplexClass2_0([ 8, 4 ], " r0*a21*a101*a21^-1, (r0*a101)^4, r0*a101*a21*r0*a21^-1*a101*a21*a101*r0*a21^-1 ")#512#16
TwoOrbit3ManiplexClass2_0([ 86, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^6*a21*a101*r0*a21^-1 ")#516#6
TwoOrbit3ManiplexClass2_0([ 68, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^4*r0*a21^-1*(a101*r0)^2*a101*a21 ")#544#4
TwoOrbit3ManiplexClass2_0([ 34, 8 ], " r0*a101*r0*a21^-1*a101*a21, a21^8, (a21^-1*r0*a21^-1)^4 ")#544#8
TwoOrbit3ManiplexClass2_0([ 34, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, (r0*a101)^3*r0*a21^-1*a101*a21 ")#544#8
TwoOrbit3ManiplexClass2_0([ 34, 8 ], " (r0*a101)^2*a21*a101*r0*a21^-1, a21^8, r0*a21^-2*a101*r0*a21^-1*a101*a21^3 ")#544#8
TwoOrbit3ManiplexClass2_0([ 10, 28 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^28 ")#560#28
TwoOrbit3ManiplexClass2_0([ 70, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a21^-1*a101*r0*a21^-1)^2, (r0*a101)^3*a21*(a101*r0)^4*a21^-1 ")#560#28
TwoOrbit3ManiplexClass2_0([ 4, 35 ], " a101*a21^2*r0*a21^-1*a101*a21^-1, a21^35 ")#560#35
TwoOrbit3ManiplexClass2_0([ 6, 16 ], " (r0*a101)^3, r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a101*a21^3*r0*a21^-1*a101*a21^-2, a21^16 ")#576#16
TwoOrbit3ManiplexClass2_0([ 8, 4 ], " r0*a21*a101*a21^-1, (r0*a101)^4, (r0*a21^-1*a101*r0*a21^-1)^2 ")#576#8
TwoOrbit3ManiplexClass2_0([ 8, 8 ], " r0*(a101*a21^-1)^3*a21^-1, r0*a21^-2*a101*r0*a101*a21^2, a21^8 ")#576#4
TwoOrbit3ManiplexClass2_0([ 12, 8 ], " a101*a21^-1*r0*a21, r0*a101*r0*a21^-2*a101*a21^2, a21^8, r0*(a101*a21)^2*r0*a21^-1*a101*r0*a21^-1 ")#576#8
TwoOrbit3ManiplexClass2_0([ 14, 6 ], " a21^-1*a101*r0*a21^-2*(a101*r0)^2*a101, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1 ")#588#21
TwoOrbit3ManiplexClass2_0([ 98, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^5*a21*(a101*r0)^3*a21^-1 ")#588#6
TwoOrbit3ManiplexClass2_0([ 14, 21 ], " r0*a21^-2*a101*a21^-4, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*a101*(r0*a21)^2*(r0*a101)^2*a21 ")#588#6
TwoOrbit3ManiplexClass2_0([ 14, 21 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^2*a21^-1, a21^21 ")#588#42
TwoOrbit3ManiplexClass2_0([ 74, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^5*r0*a21^-1*a101*a21 ")#592#4
TwoOrbit3ManiplexClass2_0([ 10, 12 ], " a101*a21^-1*r0*a21, (a21^-1*a101*a21^-1)^3, r0*(a101*a21)^2*r0*a21^-1*a101*r0*a21^-1 ")#600#12
TwoOrbit3ManiplexClass2_0([ 62, 5 ], " (r0*a101)^2*a21*a101*r0*a21^-1 ")#620#10
TwoOrbit3ManiplexClass2_0([ 62, 5 ], " r0*a21^-1*(a101*a21)^2*r0*a101*r0*a21^-1 ")#620#10
TwoOrbit3ManiplexClass2_0([ 52, 6 ], " r0*a21^-1*(a101*r0)^2*a101*a21, r0*a21^-1*a101*(a21^-1*a101*a21^-1)^2*a21^-1 ")#624#12
TwoOrbit3ManiplexClass2_0([ 52, 6 ], " r0*(a101*a21^-1)^2*a21^-1, a21^6, r0*a21^-1*a101*r0*a101*a21*r0*a21^-1*(a101*r0)^3*a101*a21 ")#624#3
TwoOrbit3ManiplexClass2_0([ 52, 6 ], " a21*a101*a21^-1*r0, a21^6, r0*a101*a21*(a101*r0)^3*a21^-1, r0*a21^-2*(a101*a21)^2*a21*r0*a21^-1 ")#624#12
TwoOrbit3ManiplexClass2_0([ 52, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^6*a21*(a101*r0)^2*a21^-1 ")#624#6
TwoOrbit3ManiplexClass2_0([ 26, 12 ], " (r0*a101)^2*a21*a101*r0*a21^-1, (a101*a21)^2*a21*r0*a21^-3*r0, a21^12 ")#624#12
TwoOrbit3ManiplexClass2_0([ 26, 12 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-3*a101*a21^3, a21^12 ")#624#12
TwoOrbit3ManiplexClass2_0([ 26, 12 ], " (r0*a101)^2*r0*a21^-1*a101*a21, r0*(a101*a21)^2*a101*(r0*a21^-1)^2, a21^12 ")#624#12
TwoOrbit3ManiplexClass2_0([ 78, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, r0*(a101*r0*a101*a21)^2*r0*a21^-2 ")#624#12
TwoOrbit3ManiplexClass2_0([ 26, 12 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^2*r0*a21^-1*a101*r0*a101*a21, a21^12 ")#624#12
TwoOrbit3ManiplexClass2_0([ 26, 12 ], " r0*a21^-2*a101*a21^2, r0*a101*a21*(a101*r0)^3*a21^-1, (r0*a101)^3*a21^-1*a101*a21*a101, a21^12 ")#624#12
