Size,IsPolytopal
RotaryManiplex([ 36, 9 ], "s2^-1*s1^-1*s2*s1^5*s2^-1*s1^4, s1^-1*s2^-1*s1^2*s2*s1^-2*(s2^-1*s1^2)^2*(s2*s1^-1)^2*s1^-1, s2^2*s1^-1*s2^-3*s1*s2")#2016#false
RotaryManiplex([ 12, 24 ], "s1^2*s2*s1^-1*s2*s1^3*s2^-4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2, s2*s1^2*s2*s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1*s2")#2016#false
RotaryManiplex([ 12, 24 ], "s1^-1*s2^-3*s1^2*s2*s1^-1*(s2*s1^-1*s2^-1*s1)^2*s2^2, s1^2*s2^2*s1^3*s2^-2*s1, (s1^2*s2^3*s1)^2")#2016#false
RotaryManiplex([ 12, 24 ], "(s2^-2*s1*s2^-2)^2*s1^2, s1^2*s2^-2*(s1^-1*s2)^2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2*s1*s2^-1*s1*s2^4*s1*s2^-1*s1^-1*s2^5, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 12, 24 ], "s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2, s2*s1^-1*s2*(s1^-2*s2*s1^-1)^2*s1^-1, s2*s1*s2^-1*s1^-2*s2^-2*s1*s2^8, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#2016#false
RotaryManiplex([ 24, 12 ], "s1^-1*s2*s1^-2*s2*(s1^-2*s2*s1^-1)^2*s2^-1*s1*s2, (s1*s2^-1*s1^4)^2, s1^2*s2*s1^-4*s2*s1^2*s2^-2, s2*(s1*s2^-2*s1)^2*s2")#2016#false
RotaryManiplex([ 24, 12 ], "s1^-2*(s2^-1*s1)^2*s1*s2^-1*s1^-1*s2^3, s1^-7*s2^-1*s1^2*s2*s1^-2*s2^-1*s1*s2, s1^-1*s2*s1^2*s2^-1*s1^3*s2^4, s1*s2^-1*s1^2*(s1*s2^-1)^2*s2^-3*s1, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2")#2016#false
RotaryManiplex([ 24, 12 ], "(s1*s2^-1*s1^2*s2^-1)^2*s1^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-4*s2^3*s1*s2^-1*s1*s2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2")#2016#false
RotaryManiplex([ 24, 12 ], "s1*s2^-1*s1*s2^2*(s1^-1*s2^2*s1*s2^-1)^2*s2^-1, s1^9*s2*s1^-3*s2^-1, s2^2*s1^3*s2^-1*s1*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2016#false
RotaryManiplex([ 18, 18 ], "(s2^-1*s1^2*s2^-1)^3*s2^-6, s1*s2^-1*s1*s2^2*s1^-1*s2^3*(s1*s2^-2)^2*s1^-1*s2^2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2016#false
RotaryManiplex([ 18, 18 ], "(s2^-2*s1*s2^-2)^3*s1^3, s2*s1^3*s2*s1^-2*s2^-1*s1*s2^2*s1*s2^-1*s1^-2*s2^-1*s1^2*s2*s1^-1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#2016#false
AbstractRotaryPolytope([ 14, 63 ], "s2^-2*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1*s2^-2, s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1, s2*s1*s2^-1*s1^4*s2*s1^-2*s2*s1^-1")#2016#true
AbstractRotaryPolytope([ 63, 14 ], "(s1*s2^-1*s1^-1*s2^2*s1)^2, s1^2*s2^-1*s1^-5*s2^2*s1^-2*s2")#2016#true
RotaryManiplex([ 18, 36 ], "s1^-3*s2^6, s2*s1^-2*s2^-1*s1*(s2^-1*s1*s2^2*s1^-1*s2^-1)^2*s2^-1*s1*s2, (s2*s1^-1)^2*s1^-1*s2^-2*s1^-1*(s1^-1*s2)^2*s1^-1, s2*s1^4*s2*s1^-2")#2016#false
