Size,IsPolytopal
AbstractRotaryPolytope([ 452, 4 ], "(s1*s2^-1*s1^2)^2, s1^120*s2*s1^-8*s2*s1^2*s2^-1*s1^-2*s2*s1^94, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2")#9040#true
RotaryManiplex([ 20, 20 ], "(s1^-1*s2)^2*s2*(s1*s2^-1)^3*s1^2*(s2*s1^-1)^2*s1^-1*(s2^-1*s1)^4*s1*(s2*s1^-1)^3*s2, s2^2*s1^4*s2^2")#9040#false
RotaryManiplex([ 40, 40 ], "s1^-2*s2^3*s1*(s1*s2^-1)^2*s2^-1*s1^-1, s1^2*s2^2*s1*s2^-1*s1^-1*s2*s1^2*s2^-2*(s1^-1*s2)^2, s2*s1^-1*(s1^-1*s2)^2*s2*s1^-2*s2*(s1^-2*s2*s1^-1)^2*s1^-2, s2^2*s1^6*s2^2*s1^-2")#9040#false
RotaryManiplex([ 40, 40 ], "s1^-2*s2^3*s1*(s1*s2^-1)^2*s2^-1*s1^-1, s2*s1^-2*(s1^-1*s2)^2*s2*(s1^-2*s2*s1^-1)^2*s2*s1^-3, s2*s1^2*s2*s1^-1*s2^-2*s1^2*(s2*s1^-1)^2*s2^-1*s1*s2, s2^2*s1^6*s2^2*s1^-2")#9040#false
RotaryManiplex([ 452, 452 ], "s2*s1^-1*s2*s1^2*s2^-1*s1*s2, s2^2*s1^4*s2^2")#9040#false
AbstractRotaryPolytope([ 6, 174 ], "(s1*s2^-2)^2, s1^2*s2^2*s1^2*s2^-1*s1^-2*s2*(s1^2*s2^-1)^3*s1^-2*s2, s2^3*s1^-2*s2^5*s1^-1*s2^-1*s1*s2^3*s1^-2*s2^16*s1^-1*s2^-13*s1^-1*s2^8*s1^-1*s2^-2*s1^-1*s2^2*(s2*s1^-1*s2^-1*s1)^2*s2")#9048#true
AbstractRotaryPolytope([ 6, 174 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s2^2*s1*s2^-2*s1^-1*s2^11*s1^-1*s2^-1*s1*s2^2*s1*s2^-1*s1^-1*s2^2*s1^-1*(s2^-2*s1^-1*s2*s1^-1*s2^-1)^2*s2^-2*s1^-1*(s2^3*s1^-1*s2^-1*s1*s2)^2*s2^2*s1^-1*s2^-11*s1*s2^2*s1^-1*s2^-1*s1*s2, s2^2*s1^2*s2*s1^-1*s2^-1*s1*s2^-2*s1*s2^2*s1^-1")#9048#true
AbstractRotaryPolytope([ 174, 6 ], "(s1*s2^-1*s1^4)^2, s1*s2^-1*s1^2*s2*s1^-2*s2^2*s1*s2^-1*s1^-1*s2*s1, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^24*s2*s1^-14*s2*s1^2*s2^-1*s1^-2*s2*s1^16")#9048#true
AbstractRotaryPolytope([ 174, 6 ], "(s1*s2^-1*s1)^2, s1^30*s2*s1^-6*(s1^-1*s2*s1*s2^-1)^2*s1^-7*s2*s1*s2^-1*s1^-1*s2*s1^9, (s2*s1^-1)^2*s2^-3*s1^-1*s2*s1^-1*(s2^-2*s1)^2*s2^2*s1^-1*s2^-1*s1*s2")#9048#true
AbstractRotaryPolytope([ 12, 12 ], "s1^-2*s2^-1*s1*s2^-1*s1^-2*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2*s1^-2, (s1*s2^-2*s1^3)^2, s1*s2^-1*s1^2*s2^-2*s1*s2^-1*s1^-2*s2^2*s1*s2^-1, (s1*s2^-1*s1)^4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#9048#true
AbstractRotaryPolytope([ 12, 12 ], "s1^-1*s2^-2*s1^-2*s2^-1*s1^3*s2^-1*s1*s2^2*s1^-3, (s1*s2^-2*s1^3)^2, (s1*s2^-1*s1)^4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2^2*s1^-2*s2^2*s1*s2^-1*s1^2*s2*s1^-1")#9048#true
AbstractRotaryPolytope([ 12, 12 ], "s1^-2*s2^-1*s1*s2^-1*s1^-2*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2*s1^-2, (s1*s2^-2*s1^3)^2, (s1*s2^-1*s1)^4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s1^4*s2^-1*s1*s2")#9048#true
AbstractRotaryPolytope([ 12, 12 ], "s1^-1*s2^-2*s1^-2*s2^-1*s1^3*s2^-1*s1*s2^2*s1^-3, (s1*s2^-2*s1^3)^2, (s1*s2^-1*s1)^4, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2*s1^3*s2*s1^-2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1")#9048#true
RotaryManiplex([ 12, 12 ], "s2*s1*(s1*s2^-1)^6*s1*s2*(s2*s1^-1)^3*s1^-1*(s2^-1*s1)^4*s2^2*s1^2*s2^-2*s1^-2*s2*(s2*s1^-1)^3, s2^2*s1^4*s2^2")#9048#false
RotaryManiplex([ 12, 12 ], "s2^-1*s1*s2^-1*s1^-1*s2*(s1^-1*s2*s1*s2^-1)^6*(s1*s2^-1)^3*s1^-2*s2*s1^-1*s2^-2*(s1*s2^-1*s1^-1*s2)^3*s1, s2^2*s1^4*s2^2")#9048#false
RotaryManiplex([ 156, 156 ], "s2^-49*s1*s2^-1*(s2^-1*s1)^4*(s1*s2^-2)^6*s2^-1, s2*s1^-2*s2^-2*s1^-1*s2*s1^-2*(s2^-1*s1)^3*s2^-2*s1^-2*s2, s2^2*s1^4*s2^2")#9048#false
RotaryManiplex([ 174, 174 ], "(s2^-1*s1^2*s2^-1)^42*s2^-6, s2*s1^4*s2*s1^-2, s2*s1^2*s2^2*s1^-1*s2^-2*s1*s2*s1^-1*s2^-1*s1*s2, s2^3*s1^2*s2^-1*s1^2*s2^2")#9048#false
